hospital_clean,medical_condition,total_admissions,average_billing
"abbott and thompson, sullivan",Hypertension,1,16738.569764845743
abbott inc,Arthritis,1,38052.04191741927
abbott ltd,Arthritis,1,29877.58648308568
"abbott moore and williams,",Obesity,1,24799.596339229447
"abbott, peters and hoffman",Diabetes,2,18842.39686337706
"abbott, vazquez bautista and",Obesity,1,14117.142638120646
abbott-castillo,Arthritis,1,18397.74214816412
abbott-coleman,Diabetes,1,19751.9994965723
abbott-ferrell,Asthma,1,99.93357858646812
abbott-hill,Obesity,1,13260.139775444237
abbott-jones,Hypertension,1,49039.70915227963
abbott-martin,Arthritis,1,48968.88089008677
abbott-martin,Asthma,1,41462.34699064271
abbott-rios,Diabetes,1,35798.34654071335
abbott-wilson,Obesity,1,23968.514829222888
"acevedo and ellis, snyder",Cancer,1,33490.59636561047
"acevedo and hart, hernandez",Cancer,2,7148.107174924207
"acevedo and howard burke,",Asthma,1,31015.271353653112
"acevedo and larson andrews,",Asthma,1,34339.761304392174
"acevedo and lewis barker,",Cancer,1,4867.313341198163
acevedo group,Diabetes,1,25420.53795416327
"acevedo holmes and rangel,",Obesity,1,50150.17160035209
acevedo llc,Arthritis,1,23600.50094018656
acevedo ltd,Arthritis,1,34196.734789851114
acevedo ltd,Asthma,2,31893.77754281292
"acevedo phillips steele, and",Hypertension,1,12363.779217776884
acevedo plc,Asthma,1,50050.45552791643
acevedo plc,Obesity,1,18742.64815873972
"acevedo, jordan and diaz",Hypertension,1,23316.68634228724
"acevedo, martin and price",Arthritis,1,44587.345383007385
"acevedo, riddle payne and",Asthma,1,22251.997803119422
acevedo-diaz,Arthritis,1,21431.17077713672
acevedo-goodwin,Arthritis,1,5900.383817012926
acevedo-henderson,Obesity,1,13030.313925258188
acevedo-lawson,Diabetes,1,30895.505300143963
"acosta and tapia evans,",Arthritis,1,36093.24675820141
acosta group,Arthritis,3,39634.27449370418
acosta inc,Diabetes,1,37086.78455246196
acosta inc,Obesity,1,4685.834676879734
acosta llc,Diabetes,1,36088.21857690143
acosta ltd,Asthma,1,34167.44503503958
acosta ltd,Diabetes,1,33496.58283296572
acosta ltd,Hypertension,1,22112.32687005417
acosta plc,Asthma,1,9840.050150714187
acosta sons and,Obesity,1,5808.691684830136
"acosta trujillo davis, and",Hypertension,1,12344.730229260642
"acosta weeks yates, and",Obesity,1,5036.830970466603
"acosta willis, martin and",Arthritis,1,24056.830466205764
"acosta, and martin torres",Obesity,1,17566.317442436448
"acosta, and price jackson",Diabetes,1,47389.46992956413
"acosta, and young morrow",Hypertension,1,1857.4823482161928
"acosta, figueroa compton and",Arthritis,1,48430.009165246585
"acosta, gordon smith and",Hypertension,1,8416.570135234593
"acosta, miller martin and",Diabetes,1,30129.28535233856
"acosta, reed and guzman",Hypertension,1,23081.70272792092
acosta-barnes,Asthma,1,24230.82120560439
acosta-berry,Diabetes,1,4981.749270524959
acosta-carlson,Asthma,1,5321.893272139389
acosta-chambers,Asthma,1,4112.213076429774
acosta-clark,Cancer,1,29257.71499510026
acosta-davila,Hypertension,1,10541.956261111503
acosta-dickerson,Arthritis,1,25091.45012209378
acosta-miller,Diabetes,1,5783.744159465728
acosta-robertson,Diabetes,1,37505.61811944835
acosta-smith,Hypertension,1,4391.133883477857
acosta-taylor,Arthritis,1,6380.15973035256
acosta-thomas,Arthritis,1,27692.249691501394
"adams and brown benson,",Hypertension,1,14697.319017525995
"adams and campos cooper,",Asthma,2,6172.030006797837
"adams and delgado newman,",Cancer,1,27763.57292712363
"adams and everett garza,",Arthritis,1,35702.644984281775
"adams and freeman oneal,",Asthma,1,18654.76830880597
"adams and gonzales, clark",Diabetes,1,36086.73438534585
"adams and roberts armstrong,",Arthritis,1,4431.900318616146
"adams and smith olson,",Cancer,1,41330.29016646662
adams and sons,Asthma,2,33478.529114160294
adams and sons,Cancer,1,47718.77801416696
"adams and thomas williams,",Asthma,1,33730.87683699009
"adams and white, smith",Cancer,1,45292.62449137888
"adams baxter, and peterson",Obesity,1,32989.04415983882
"adams bell adams, and",Diabetes,1,35275.93248274162
adams group,Arthritis,2,31757.871717191156
adams group,Cancer,1,49819.98857910399
adams group,Diabetes,2,20745.199825512642
adams group,Obesity,3,21535.594875457
adams inc,Arthritis,1,38877.998883503176
adams inc,Asthma,1,41883.89015530406
"adams lawson, and fleming",Cancer,1,15570.45986036493
adams llc,Arthritis,1,30623.43629655157
adams llc,Cancer,2,18064.980229898916
adams llc,Diabetes,1,23655.075970866124
adams llc,Hypertension,3,30734.25873309636
adams llc,Obesity,1,12766.185876762407
adams ltd,Arthritis,1,5576.665740332539
adams ltd,Asthma,1,25906.64971765251
adams ltd,Diabetes,3,13654.269085107417
"adams macias and arias,",Hypertension,1,38996.199468143255
"adams marshall, taylor and",Hypertension,1,38672.10680843304
"adams morris, and griffin",Arthritis,1,31309.30683408816
"adams murphy and lopez,",Asthma,1,20523.142205171545
"adams navarro, gomez and",Asthma,1,44461.76534600743
"adams novak, and james",Arthritis,1,40543.846537238765
"adams odonnell and cook,",Diabetes,1,34444.12005662962
"adams patterson, and pham",Asthma,1,41229.72866407604
"adams patterson, lawrence and",Asthma,1,37038.01473688717
adams plc,Hypertension,2,26466.80853004742
"adams rivas duran, and",Asthma,1,42637.5254360549
"adams smith cervantes, and",Asthma,1,43564.76970973583
adams sons and,Asthma,1,9928.933694610798
adams sons and,Diabetes,1,8897.12018408806
"adams torres nixon, and",Diabetes,1,16818.56135554929
"adams weaver, and acosta",Diabetes,2,30295.743140025097
"adams west and poole,",Diabetes,2,31473.65280748393
"adams wilson, newton and",Arthritis,1,39133.44246789615
"adams, and colon green",Hypertension,1,9879.0452243556
"adams, and daniels rogers",Obesity,1,2675.0921948494256
"adams, and jackson greer",Cancer,1,37270.26093594889
"adams, and johns molina",Asthma,1,47435.223796436265
"adams, and joseph williams",Arthritis,1,48393.46006115488
"adams, and rodriguez wright",Hypertension,1,30777.233602625423
"adams, bowers escobar and",Obesity,1,49191.64768802146
"adams, christian and perry",Cancer,1,9867.9658229611
"adams, collins simmons and",Obesity,1,22255.44582706606
"adams, hayes and gardner",Asthma,1,14695.314831927071
"adams, hendricks collins and",Cancer,1,8200.785845807444
"adams, mcgee brown and",Cancer,1,33686.047612214
"adams, proctor evans and",Obesity,1,26533.25271914112
"adams, randall powers and",Diabetes,1,39471.35359322657
"adams, ross edwards and",Arthritis,1,35301.14538396975
adams-bailey,Arthritis,1,33819.21269661252
adams-barnes,Diabetes,1,32284.54930969137
adams-bass,Obesity,1,27850.552749878643
adams-bell,Hypertension,1,40135.06214705066
adams-bennett,Arthritis,1,30363.329771459543
adams-benson,Arthritis,1,12865.861245365595
adams-best,Hypertension,2,35296.48395154554
adams-black,Diabetes,1,4974.767063556936
adams-castillo,Cancer,1,28520.940175921573
adams-castro,Arthritis,1,7562.900610630472
adams-chase,Cancer,1,12786.124591628684
adams-clark,Arthritis,1,27604.697577180872
adams-cortez,Cancer,1,12813.979551147811
adams-daugherty,Cancer,1,21184.284505461743
adams-dean,Cancer,1,20445.47021145058
adams-dominguez,Hypertension,1,36690.06798578122
adams-ferguson,Arthritis,1,18181.037889805048
adams-flynn,Arthritis,1,44196.91302806709
adams-gallegos,Arthritis,1,34085.7246494997
adams-garza,Cancer,1,24312.491917281324
adams-gates,Cancer,1,41706.37916833271
adams-gomez,Asthma,1,27840.78296724128
adams-hale,Diabetes,1,31203.1255363022
