Year,County,Hospital,Measure,Adverse_Events,Cases,Risk_Adjusted_Rate,Performance_Rating,Latitude,Longitude
2017,Alameda,Alameda Hospital,Acute Stroke Ischemic,3.0,102.0,6.1,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,Carotid Endarterectomy,0.0,3.0,0.0,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,Pneumonia,5.0,98.0,6.1,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,Heart Failure,5.0,137.0,3.4,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,GI Hemorrhage,0.0,85.0,0.0,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,Acute Stroke,5.0,107.0,11.6,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,Acute Stroke Hemorrhagic,2.0,5.0,29.3,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,AMI,0.0,10.0,0.0,As Expected,37.76266,-122.253
2017,Alameda,Alameda Hospital,Hip Fracture,0.0,31.0,0.0,As Expected,37.76266,-122.253
2017,Alameda,Alta Bates Summit Medical Center  Alta Bates Campus,AMI,1.0,26.0,2.3,As Expected,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center  Alta Bates Campus,GI Hemorrhage,3.0,206.0,1.4,As Expected,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center  Alta Bates Campus,Acute Stroke,14.0,213.0,5.8,Better,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center  Alta Bates Campus,Acute Stroke Ischemic,1.0,115.0,1.1,As Expected,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center  Alta Bates Campus,Heart Failure,12.0,306.0,3.3,As Expected,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center  Alta Bates Campus,Acute Stroke Hemorrhagic,13.0,95.0,16.2,As Expected,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center  Alta Bates Campus,Acute Stroke Subarachnoid,0.0,3.0,0.0,As Expected,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center  Alta Bates Campus,Pneumonia,5.0,82.0,4.6,As Expected,37.85645,-122.257
2017,Alameda,Alta Bates Summit Medical Center  Alta Bates Campus,Hip Fracture,2.0,89.0,2.7,As Expected,37.85645,-122.257
2017,Alameda,Highland Hospital,Carotid Endarterectomy,0.0,4.0,0.0,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,Acute Stroke Hemorrhagic,9.0,40.0,21.5,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,GI Hemorrhage,5.0,148.0,3.2,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,AMI,13.0,154.0,9.5,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,Elective PCI Emergency CABG,0.0,0.0,0.0,As Expected,37.79925,-122.23138
2017,Alameda,Highland Hospital,Pancreatic Resection,0.0,6.0,0.0,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,Elective PCI Mortality,0.0,0.0,0.0,As Expected,37.79925,-122.23138
2017,Alameda,Highland Hospital,Acute Stroke Ischemic,2.0,75.0,4.9,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,Pneumonia,1.0,99.0,2.1,As Expected,37.79925,-122.231
2017,Alameda,Highland Hospital,Heart Failure,4.0,379.0,1.5,As Expected,37.79925,-122.231
